SIREN,SIRET,nom,dirigeant,telephone,email,date_creation,age,departement,pays,code_postal,ville,famille,micro_famille,chiffre_affaires_montant,chiffre_affaires_annee,resultat_net_montant,resultat_net_annee
590800215,59080021500170,BOEHRINGER INGELHEIM ANIMAL HEALTH FRANCE,Eric Joly,04 72 72 30 00,merial.be@merial.com,01/07/1983,41 ans,69,FR,69007,Lyon,Bien-être de la personne,Animalerie,577.8 M,2022,74.4 M,2022
449287671,44928767100019,ANIMAL FOOD DIFFUSION (AFD),Alienor Nemec,n° tél. inconnu,info@afd-groupe.fr,01/07/2003,21 ans,38,FR,38110,La Tour-du-Pin,Bien-être de la personne,Animalerie,17.6 M,2023,1.1 M,2023
482830817,48283081700011,NEWBORN ANIMAL CARE,SOCIETE COOPERATIVE AGRICOLE LE GOUESSANT,02 96 30 72 72,info@newbornanimalcare.com,08/06/2005,19 ans,22,FR,22400,Saint-Brieuc,Bien-être de la personne,Animalerie,7.9 M,2022,513.7 K,2022
507551125,50755112500044,ANIMAL EXPERTS,SILENCIUM HOLDING,03 62 53 35 33,service-clients@bullebleue.fr,03/08/2008,16 ans,59,FR,59491,Villeneuve-d'Ascq,Bien-être de la personne,Animalerie,6.5 M,2023,1.4 M,2023
310862347,31086234700070,ANIMAL-DISTRI,ARMARO,n° tél. inconnu,email inconnu,01/01/1973,52 ans,974,FR,97420,Le Port,Bien-être de la personne,Animalerie,4 M,2020,74.3 K,2020
337765614,33776561400017,AQUARIUM 17 (ANIMAL & CO),Frederic Janssens,05 46 67 45 37,larochelle@animalandco.fr,02/05/1986,38 ans,17,FR,17138,Puilboreau,Bien-être de la personne,Animalerie,1.8 M,2023,115.5 K,2023
851291328,85129132800058,COMPTOIR ANIMAL GIRONDIN,David Duesso,n° tél. inconnu,email inconnu,03/06/2019,5 ans,47,FR,47340,Laroque-Timbaut,Bien-être de la personne,Animalerie,1.8 M,2024,30.9 K,2024
483991576,48399157600032,ANIMAL NUTRITION PROVENCE (CENT MILLE PATTES),Laurent Benzi,04 90 57 12 39,contact@bazookapets.fr,05/09/2005,19 ans,13,FR,13370,Mallemort,Bien-être de la personne,Animalerie,1.7 M,2019,152.9 K,2019
327075107,32707510700042,AQUANIORT (ANIMAL &CO),Frederic Janssens,05 49 26 76 94,recrutement@animalandco.fr,01/01/1983,42 ans,79,FR,79000,Niort,Bien-être de la personne,Animalerie,1.5 M,2022,72.7 K,2022
488341454,48834145400012,ANIMADAX (ANIMAL ET CO),Frederic Janssens,05 58 91 38 52,dax@animalandco.fr,10/01/2006,19 ans,40,FR,40990,Saint-Paul-lès-Dax,Bien-être de la personne,Animalerie,1.3 M,2023,2 K,2023
542086749,54208674900010,LIBRAIRIE GENERALE FRANCAISE,Nathalie Poussier,01 49 54 37 00,marketing@livredepoche.com,01/01/1954,71 ans,75,FR,75006,Paris,Nathalie Poussier,Librairie,81.3 M,2023,13.8 M,2023
395135999,39513599900010,ARTEMIS (LIBRAIRIE DES ETUDIANTS - LDE),Frederic Fritsch,03 88 39 17 07,saisonchezlde@lde.fr,25/05/1994,30 ans,67,FR,67150,Strasbourg,Frederic Fritsch,Librairie,46.3 M,2022,2.2 M,2022
659501837,65950183700010,SOCIETE NOUVELLE LIBRAIRIE CHARLEMAGNE (CHARLEMAGNE LIBRAIRIE),Jacques Rouard,04 94 62 22 88,info@charlemagnefrance.com,01/01/1965,60 ans,83,FR,83000,Toulon,Jacques Rouard,Librairie,31.8 M,2023,108.7 K,2023
384798831,38479883100010,SOC EXPL DE LA LIBRAIRIE MOLLAT (LIBRAIRIE MOLLAT),Denis Mollat,05 56 56 40 40,contact@mollat.com,01/03/1992,32 ans,33,FR,33000,Bordeaux,Denis Mollat,Librairie,28 M,2024,211.3 K,2024
562136895,56213689500010,LIBRAIRIE ARTHEME FAYARD,Lise Boell,01 45 49 82 00,contact@editions-fayard.fr,01/01/1956,69 ans,75,FR,75006,Paris,Lise Boell,Librairie,19.6 M,2023,710.5 K,2023
401136163,40113616300010,LIBRAIRIE EMLS (E M L S),TECH-FOR-ED,04 42 46 35 52,contact@emls.fr,01/01/1995,30 ans,13,FR,13127,Vitrolles,TECH-FOR-ED,Librairie,16.8 M,2019,521.5 K,2019
457800993,45780099300010,SAURAMPS & CIE S.A. (LIBRAIRIE SAURAMPS),Jean-marie Sevestre,04 67 06 78 78,contact@sauramps.fr,01/01/1957,65 ans,34,FR,34000,Montpellier,Jean-marie Sevestre,Librairie,15.2 M,2016,10.7 K,2016
315043851,31504385100010,NOUVELLE LIBRAIRIE UNIVERSITAIRE (NLU),Patrice Moysan,,,01/01/1979,41 ans,89,FR,89470,Monéteau,Patrice Moysan,Librairie,13.4 M,2019,13.9 K,2019
324266055,32426605500010,LIBRAIRIE CUFAY,Thierry Damagnez,03 22 24 04 05,info@cufay.fr,01/03/1982,42 ans,80,FR,80100,Abbeville,Thierry Damagnez,Librairie,12.6 M,2020,59.7 K,2020
628500894,62850089400010,LIBRAIRIE INTERNATIONALE KLEBER,Philippe Touron,03 88 15 78 88,contact@librairie-kleber.fr,01/01/1962,63 ans,67,FR,67000,Strasbourg,Philippe Touron,Librairie,12.2 M,2023,385.7 K,2023
562110049,56211004900010,LIBRAIRIE FERNAND NATHAN F.NATHAN ET CIE,SAGITTA,01 45 87 50 00,mdessaix@nathan.fr,01/01/1956,69 ans,75,FR,75013,Paris,SAGITTA,Librairie,11.9 M,2021,9.3 M,2021
804494599,80449459900010,RMN GP-LIBRAIRIE-FLV,Marianne Lesimple,,,07/08/2014,10 ans,75,FR,75012,Paris,Marianne Lesimple,Librairie,9.1 M,2022,1.1 M,2022
311023121,31102312100010,LIBRAIRIE-EDITIONS L'HARMATTAN,H D P,01 43 29 86 20,prixscientifique-harmattan@harmattan.fr,01/01/1975,50 ans,75,FR,75005,Paris,H D P,Librairie,8.2 M,2021,707.7 K,2021
800519142,80051914200010,LIBRAIRIE ARTHAUD,Marc Bordier,04 85 19 02 26,contact@librairie-arthaud.fr,14/02/2014,11 ans,38,FR,38000,Grenoble,Marc Bordier,Librairie,8.1 M,2023,19.8 K,2023
802593996,80259399600010,SCOP LIBRAIRIE LES VOLCANS,Boris Surjon,04 73 43 66 75,contact@horizons.coop,30/06/2014,10 ans,63,FR,63000,Clermont-Ferrand,Boris Surjon,Librairie,7.8 M,2023,112.4 K,2023
303171573,30317157300010,SOCIETE COMMERCIALE DE LIBRAIRIE DE LA MARTINIQUE (SCLM),Georges Ozier-lafontaine,05 96 51 12 36,marketing@sclm.fr,01/01/1973,52 ans,972,FR,97232,Le Lamentin,Georges Ozier-lafontaine,Librairie,7.5 M,2023,352.7 K,2023
310836390,31083639000010,LIBRAIRIE PAPETERIE GERARD,Olivier Koenig,02 62 20 08 15,librairiegerard@librairiegerard.fr,01/01/1974,51 ans,974,FR,97400,Saint-Denis,Olivier Koenig,Librairie,7.2 M,2017,117.9 K,2017
353348857,35334885700010,LIBRAIRIE SOURGET,Patrick Sourget,02 37 35 49 54,,01/01/1990,35 ans,28,FR,28630,Épernon,Patrick Sourget,Librairie,7 M,2016,862 K,2016
572198794,57219879400010,LIBRAIRIE LE DIVAN,Marie-therese Bouley,01 53 68 90 68,ledivan@ledivan.com,01/01/1957,68 ans,75,FR,75015,Paris,Marie-therese Bouley,Librairie,6.7 M,2023,344.9 K,2023
321722399,32172239900010,LIBRAIRIE GOULARD SAS,Anne Guillet,04 42 27 66 47,contact.goulard@free.fr,01/03/1981,43 ans,13,FR,13100,Aix-en-Provence,Anne Guillet,Librairie,6.3 M,2024,181.5 K,2024
892212697,89221269700010,RMN GP-LIBRAIRIE CENTRE POMPIDOU,Virginie Perreau,,,03/12/2020,4 ans,75,FR,75012,Paris,Virginie Perreau,Librairie,5.6 M,2023,117.7 K,2023
732049036,73204903600010,LIBRAIRIE GALERIE LES CHEVAU LEGERS,Joel Cornu,01 40 26 42 95,contact@cgb.fr,01/01/1973,52 ans,75,FR,75002,Paris,Joel Cornu,Librairie,5.1 M,2022,195.7 K,2022
300570231,30057023100010,LIBRAIRIE DE L ECHO,Guillaume Fabre,01 45 48 87 90,librairie@chantelivre.com,01/01/1973,52 ans,75,FR,75006,Paris,Guillaume Fabre,Librairie,5 M,2024,277.3 K,2024
796780385,79678038500010,SA LIBRAIRIE BIRMANN,Philippe Flez,04 50 71 25 45,,01/01/1967,58 ans,74,FR,74200,Thonon-les-Bains,Philippe Flez,Librairie,4.8 M,2017,52.5 K,2017
26220079,2622007900010,LIBRAIRIE PAPETERIE MAROQUINERIE MARTIN DELBERT SAS,Frederic Delbert,05 53 77 07 47,contact@martin-delbert.fr,01/01/1962,63 ans,47,FR,47000,Agen,Frederic Delbert,Librairie,4.7 M,2024,9.8 K,2024
311160592,31116059200010,SODEXO SPORTS ET LOISIRS,Franck Chanevas,01 30 85 75 00,sodexo.fms.tr@sodexo.com,01/01/1977,48 ans,78,FR,,Versailles,Franck Chanevas,Loisirs,248.8 M,2024,-7.2 M,2024
383039880,38303988000010,PERIGORD VEHICULES DE LOISIRS SAS,Stephane Gigou,05 53 05 78 13,.pvdl@trigano.fr,13/09/1991,33 ans,24,FR,,Périgueux,Stephane Gigou,Loisirs,137.3 M,2022,12.4 M,2022
303355671,30335567100010,DIFFUSION EQUIPEMENTS LOISIRS,CF GROUP FRANCE,09 70 72 50 00,contact@my-cfgroup.fr.fr,01/01/1975,50 ans,35,FR,,Rennes,CF GROUP FRANCE,Loisirs,105.2 M,2022,7.3 M,2022
702019902,70201990200010,FRANCE LOISIRS,ACTISSIA CLUB,01 45 68 60 00,contact@rc.franceloisirs.com,01/01/1970,55 ans,75,FR,,Paris,ACTISSIA CLUB,Loisirs,84.8 M,2019,38.3 M,2019
503823783,50382378300010,SOCIETE DE DEVELOPPEMENT DE VEHICULES DE LOISIRS (SODEV),GROUPE NARBONNE,,service-client@tpl.fr,02/04/2008,16 ans,64,FR,,Pau,GROUPE NARBONNE,Loisirs,71.5 M,2022,442.8 K,2022
429512213,42951221300010,LOGISTIQUE SPORTS ET LOISIRS,INTERSPORT FRANCE,01 69 10 82 00,service.clients@intersport.fr,02/02/2000,25 ans,91,FR,,Évry,INTERSPORT FRANCE,Loisirs,69.3 M,2023,1.3 M,2023
384600847,38460084700010,SKI LOISIRS DIFFUSION (reduc),AMC,04 72 40 28 28,serviceclient@reducce.fr,26/12/1991,33 ans,69,FR,,Lyon,AMC,Loisirs,58.3 M,2022,1.4 M,2022
310269378,31026937800010,SPORTS ET LOISIRS (CASAL SPORT),Xavier Guichard,03 88 10 32 32,mail@casalsport.com,01/06/1977,47 ans,67,FR,,Strasbourg,Xavier Guichard,Loisirs,43.6 M,2023,2 M,2023
487542474,48754247400010,SOCIETE ALSACIENNE DE JEUX ET LOISIRS,Christophe Lancel,03 89 70 57 77,casinoblotzheim@lucienbarriere.com,08/12/2005,19 ans,68,FR,,Colmar,Christophe Lancel,Loisirs,36.2 M,2023,14.8 M,2023
389975152,38997515200010,ADS LOISIRS,TRIGANO,02 99 66 45 32,communication@adsloisirs.com,25/01/1993,32 ans,35,FR,,Rennes,TRIGANO,Loisirs,32 M,2022,1.5 M,2022
428560031,42856003100010,GO SPORT FRANCE,,04 76 28 20 20,contact@go-sport.com,07/12/1999,25 ans,38,FR,38360,Sassenage,,Sport,351.6 M,2020,-39.2 M,2020
383160348,38316034800010,AMAURY SPORT ORGANISATION (ASO),Yann Le Moenner,01 41 33 14 00,contact@aso.fr,09/09/1991,33 ans,92,FR,92100,Boulogne-Billancourt,Yann Le Moenner,Sport,321 M,2023,114.8 M,2023
775682040,77568204000010,UCPA SPORT VACANCES (UCPA),Guillaume Legaut,01 45 87 45 33,ucpa-formation@ucpa.asso.fr,01/01/1900,125 ans,94,FR,94110,Saint-Maurice,Guillaume Legaut,Sport,133.5 M,2018,-3.6 M,2018
428770820,42877082000010,NOBEL SPORT,Gia Pham,02 98 86 42 42,info.poudres@nobelsport.fr,23/12/1999,25 ans,75,FR,75008,Paris,Gia Pham,Sport,107.3 M,2023,12.8 M,2023
845036581,84503658100010,MEDIAPRO SPORT FRANCE,Jaume Roures Llop,,contact@gxo.com,28/12/2018,6 ans,93,FR,93300,Aubervilliers,Jaume Roures Llop,Sport,104 M,2020,-300.7 M,2020
529131187,52913118700010,GXO LOGISTICS SPORT FRANCE,Rui Da Silva Marques,,contact@gxo.com,14/12/2010,14 ans,31,FR,31100,Toulouse,Rui Da Silva Marques,Sport,85.9 M,2023,-822.6 K,2023
453458440,45345844000010,BAYERN AUTO SPORT,,03 21 85 55 00,contact@porsche.fr,03/05/2004,20 ans,62,FR,62231,Saint-Laurent-Blangy,,Sport,71.8 M,2023,984.8 K,2023
339984254,33998425400010,CHABOT SPORT AQUITAINE (CENTRE PORSCHE BORDEAUX),,05 56 46 70 70,contact@porsche-bordeaux.fr,01/01/1987,38 ans,33,FR,33600,Bordeaux,,Sport,41.9 M,2022,1.8 M,2022
751667593,75166759300010,GAUDUEL SPORT,,04 78 35 14 00,ferrarif1academy@ferrari.com,11/04/2012,12 ans,69,FR,69760,Limonest,,Sport,37 M,2023,925.1 K,2023
843888462,84388846200010,BODET TIME & SPORT,,02 41 29 06 00,commercial.sport@bodet.com,12/11/2018,6 ans,49,FR,49340,Chanzeaux,,Sport,36.5 M,2023,1.7 M,2023
