SIREN,SIRET,nom,dirigeant,telephone,email,date_creation,age,departement,ville,pays,code_postal,famille,micro_famille,chiffre_affaires_montant,chiffre_affaires_annee,resultat_net_montant,resultat_net_annee
488298621,48829862100010,VOLCOM SAS (VOLCOM),Johannes Grootswagers,05 59 50 75 00,jobs@volcom.fr,02/01/2006,19 ans,64,Anglet,FR,64600,Habillement,SPORT-AQUATIQUE TEXTILE,56.2 M,2023,83.9 K,2023
375680139,37568013900010,BONNETERIE D'ARMOR,ARMOR-FINANCES,02 98 90 05 29,contact@armorlux.com,01/01/1956,69 ans,29,Quimper,FR,29000,Habillement,VETEMENT DE TRAVAIL-TEXTILE,62 M,2023,548.4 K,2023
410317267,41031726700010,CSP PARIS FASHION GROUP,Thierry Simon,03 23 09 33 23,contact@cspparis.fr,24/09/1996,28 ans,02,Château-Thierry,FR,02230,Habillement,CONF FEMME-25-40ANS-GROSSE PIECE,60.4 M,2023,1.9 M,2023
421619594,42161959400010,FATHER AND SONS,GRANDFATHER,01 46 73 08 20,contact@fatherandsons.fr,18/01/1999,26 ans,92,Issy-les-Moulineaux,FR,92120,Habillement,CONF HOMME 30 ET PLUS GROSSES PCES,59.8 M,2024,4.2 M,2024
334140167,33414016700010,ATELIER DE PRODUCTION ET DE CREATION (APC),HIVER 87,01 44 39 87 87,contact@apc.fr,01/10/1985,39 ans,75,Paris,FR,75006,Habillement,CONF HOMME 30 ET PLUS GROSSES PCES,91.1 M,2022,7.3 M,2022
328759857,32875985700010,CLAUDIE PIERLOT,Isabelle Guichot,01 55 80 51 00,contact@claudiepierlot.fr,01/12/1983,41 ans,75,Paris,FR,75001,Habillement,CONF FEMME-25-40ANS-GROSSE PIECE,87 M,2023,-13.4 M,2023
350169124,35016912400010,EMINENCE,DELTA TEXTILE FRANCE,04 66 73 65 65,romane.athena@eminence.fr,24/03/1989,35 ans,30,Nîmes,FR,30470,Habillement,VETEMENT DE TRAVAIL-TEXTILE,81.1 M,2023,5.9 M,2023
775644867,77564486700010,CEPOVETT (STK),STK DEVELOPPEMENT,04 74 62 47 00,contact@cepovett.com,01/01/1957,68 ans,69,Villefranche-sur-Saône,FR,69400,Habillement,VETEMENT DE TRAVAIL-TEXTILE,80.8 M,2023,9.1 M,2023
449572999,44957299900010,JSR (IZAC),SANDY RLK,01 42 78 27 33,communication@izac.fr,01/08/2003,21 ans,92,Levallois-Perret,FR,92300,Habillement,CONF HOMME 30 ET PLUS GROSSES PCES,79.8 M,2022,10 M,2022
388634883,38863488300010,LACELIER FRANCE,Jerome Bulte,01 44 93 44 00,contact@lacelier.com,31/07/1992,32 ans,75,Paris,FR,75011,Habillement,VETEMENT DE TRAVAIL-TEXTILE,39.7 M,2017,-10.4 M,2017
807897970,80789797000010,GROUPE ABILIS,ACE,,contact@groupe-abilis.fr,26/09/2014,10 ans,75,Paris,FR,75017,Habillement,VETEMENT DE TRAVAIL-TEXTILE,32.5 M,2023,530 K,2023
428688634,42868863400010,LISE CHARMEL LINGERIE,LISE CHARMEL INDUSTRIE,04 37 50 17 00,contact@lisecharmel.fr,10/12/1999,25 ans,69,Lyon,FR,69009,Habillement,LINGERIE FEMME-SOUS VETEMENT,28.9 M,2022,3.1 M,2022
302077987,30207798700010,PAULE KA,Matthias Thoma,01 40 29 03 06,contact@pauleka.com,01/01/1974,51 ans,75,Paris,FR,75001,Habillement,CONF FEMME-25-40ANS-GROSSE PIECE,28.4 M,2019,-7.1 M,2019
322441627,32244162700010,LEO MINOR (LEO MINOR),William Berrebi,04 66 04 70 35,info@leominor.fr,01/08/1981,43 ans,30,Nîmes,FR,30900,Habillement,VETEMENT DE TRAVAIL-TEXTILE,28.2 M,2023,124.4 K,2023
965506439,96550643900010,ETS ZILLI,Alain Schimel,04 78 83 13 11,communication@zilli.fr,01/01/1965,60 ans,69,Lyon,FR,69009,Habillement,VETEMENT DE TRAVAIL-TEXTILE,28.1 M,2020,-11.1 M,2020
410408843,41040884300010,RADIANTE,Valere Weiss,05 49 20 01 00,infos@radiante.fr,01/01/1997,28 ans,86,Poitiers,FR,86100,Habillement,VETEMENT DE TRAVAIL-TEXTILE,27.4 M,2023,5 M,2023
351592233,35159223300010,HALBOUT S.A.,HDM GROUPE,03 29 33 20 11,,26/07/1989,35 ans,88,Épinal,FR,88460,Habillement,VETEMENT DE TRAVAIL-TEXTILE,26.4 M,2020,1.5 M,2020
339899940,33989994000010,IKKS GROUP (IKKS),HOLDIKKS,02 41 75 21 21,ikksrgpd@ikks.com,10/12/1986,38 ans,49,Montrevault-sur-Èvre,FR,49230,Habillement,CONF HOMME 30 ET PLUS GROSSES PCES,26.3 M,2023,-75.5 M,2023
830135570,83013557000010,SOURCING PROJECT (KINDY),Philippe Carrara,03 44 46 46 06,contact@tissel.fr,03/06/2017,7 ans,60,Grandvilliers,FR,60220,Habillement,VETEMENT DE TRAVAIL-TEXTILE,20.1 M,2022,-1.6 M,2022
398356246,39835624600010,TRICOTAGE DES VOSGES,Vincent Marie,03 25 21 28 00,contact@bleuforet.fr,19/09/1994,30 ans,88,Épinal,FR,88120,Habillement,VETEMENT DE TRAVAIL-TEXTILE,22.1 M,2024,588.5 K,2024
444901714,44490171400010,GANT CAUSSE,Bruno Pavlovsky,05 65 60 03 05,contact@causse-gantier.fr,15/12/2002,22 ans,12,Millau,FR,12100,Habillement,ACCESSOIRE-MAIN FEMME,21.8 M,2023,2.2 M,2023
398149187,39814918700010,BRAGARD SAS,Paul Gross,03 29 69 10 10,contact@bragard.com,02/08/1994,30 ans,88,Épinal,FR,88000,Habillement,VETEMENT DE TRAVAIL-TEXTILE,19 M,2023,-6.1 M,2023
400425781,40042578100010,MOME CITY SARL,Marcel Istanbullu,01 53 36 18 18,contact@momecity.com,20/03/1995,29 ans,93,Aubervilliers,FR,93300,Habillement,CONF FEMME-25-40ANS-GROSSE PIECE,19 M,2020,1.8 M,2020
376980918,37698091800010,ETABLISSEMENTS GUY COTTEN,Nadine Cotten,02 98 97 66 79,contact@guycotten.com,01/01/1969,56 ans,29,Concarneau,FR,29910,Habillement,VETEMENT DE TRAVAIL-TEXTILE,18.9 M,2023,910.6 K,2023
957502131,95750213100010,ROBUR,MANUFACTORS INVEST,04 37 85 08 00,contact@robur.fr,01/01/1957,68 ans,69,Rillieux-la-Pape,FR,69140,Habillement,VETEMENT DE TRAVAIL-TEXTILE,18.6 M,2023,618.2 K,2023
332201284,33220128400010,BETRANCOURT,Franck Charlet,03 20 16 86 10,contact@betrancourt.com,29/03/1985,39 ans,59,Seclin,FR,59113,Habillement,VETEMENT DE TRAVAIL-TEXTILE,17.9 M,2023,650.7 K,2023
539522607,53952260700010,LA MAISON LEJABY,MAISON L PARIS,04 72 01 55 00,contact@maisonlejaby.com,18/01/2012,13 ans,69,Rillieux-la-Pape,FR,69140,Habillement,LINGERIE FEMME-SOUS VETEMENT,17.7 M,2018,-4.5 M,2018
889120580,88912058000010,NOUVELLE UJA,ANTONELLE MANAGEMENT HOLDING,01 84 21 01 14,contact@unjourailleurs.com,14/09/2020,4 ans,93,Pantin,FR,93500,Habillement,VETEMENT DE TRAVAIL-TEXTILE,17.1 M,2021,1.4 M,2021
339737256,33973725600010,ORCA ACCESSOIRES,Georges Herbert De La Portbarre,02 99 94 72 00,contact@herbert-freresoeur.com,01/10/1986,38 ans,35,Rennes,FR,35133,Habillement,ACCESSOIRE-MAIN FEMME,17 M,2021,162.3 K,2021
383354156,38335415600010,ONE STEP,IKKS GROUP,02 41 75 97 70,,01/10/1991,33 ans,49,Montrevault-sur-Èvre,FR,49230,Habillement,CONF HOMME 30 ET PLUS GROSSES PCES,16.6 M,2023,-4.9 M,2023
508820222,50882022200010,SARL ALEXANDRE VAUTHIER,Alexandre Vauthier,01 47 23 57 17,contact@alexandrevauthier.com,24/10/2008,16 ans,75,Paris,FR,75016,Habillement,ACCESSOIRE-MAIN FEMME,16.3 M,2020,424.4 K,2020
378384614,37838461400010,BRUNO SAINT HILAIRE,FINANCIERE 3W,05 61 24 78 80,contact@bruno-saint-hilaire.com,18/06/1990,34 ans,31,Toulouse,FR,31130,Habillement,VETEMENT DE TRAVAIL-TEXTILE,16.2 M,2017,17.4 K,2017
452576671,45257667100010,COTTON DIVISION,MRP GROUP,01 57 42 98 25,contact.paris2024@cottondivision.com,25/02/2004,20 ans,93,Pantin,FR,93500,Habillement,VETEMENT DE TRAVAIL-TEXTILE,15.8 M,2022,284.4 K,2022
317885374,31788537400010,SINEQUANONE,PHINANCIA,,,01/01/1980,45 ans,75,Paris,FR,75011,Habillement,CONF FEMME-25-40ANS-GROSSE PIECE,15.3 M,2018,-6.8 M,2018
831321450,83132145000010,MARINE SERRE SARL,Marine Serre,,onlinestore@marineserre.com,20/07/2017,7 ans,75,Paris,FR,75019,Habillement,CONF FEMME-25-40ANS-GROSSE PIECE,15.2 M,2021,1 M,2021
