SIREN,SIRET,nom,dirigeant,telephone,email,date_creation,age,departement,pays,code_postal,ville,famille,micro_famille,chiffre_affaires_montant,chiffre_affaires_annee,resultat_net_montant,resultat_net_annee
811184027,81118402700033,STOELZLE MASNIERES PARFUMERIE,Paolo Antonietti,03 27 72 27 00,contact@stoelzle.com,01/05/2015,9 ans,59,FR,59241,Masnières,DPH,Parfumerie,74 M,2023,18.8 M,2023
593650104,59365010400044,SOC DIFFUSION PRODUITS DE PARFUMERIE (SDPP),CERVIN,02 32 23 47 00,sdpp@sdppfrance.com,01/01/1959,66 ans,27,FR,27000,Évreux,DPH,Parfumerie,64.7 M,2022,222.4 K,2022
888604295,88860429500055,LA PARFUMERIE EUROPE,NEWPARF,,,26/08/2020,4 ans,06,FR,06670,Saint-Martin-du-Var,DPH,Parfumerie,50.4 M,2023,542.8 K,2023
399384890,39938489000066,IPRA FRANCE INDUSTRIE DE PARFUMERIE ET RECHERCHES AROMATIQUES,Thierry Deregnaucourt,04 93 75 55 31,contact@iprafrance.com,26/12/1994,30 ans,06,FR,06370,Mougins,DPH,Parfumerie,28.9 M,2023,4.3 M,2023
794741157,79474115700077,PARFUMERIE AMICALE (OFFICINE UNIVERSELLE BULY),Nathalie Azoulay,01 44 07 93 44,info@buly1803.com,01/09/2013,11 ans,75,FR,75006,Paris,DPH,Parfumerie,19.4 M,2023,-2.7 M,2023
336280409,33628040900088,PARFUMERIE ET CHIMIE (PARCHIMY SAS),Didier Martin,01 55 84 60 00,contact@eugeneperma.fr,01/01/1962,63 ans,51,FR,51100,Reims,DPH,Parfumerie,18.9 M,2022,-2 M,2022
391834728,39183472800099,EUROPEENNE DISTRIBUTION PARFUMERIE - EDIPAR (EDIPAR),CCI HOLDING,02 32 09 42 00,contact@edipar.fr,01/07/1993,31 ans,27,FR,27400,Louviers,DPH,Parfumerie,9.7 M,2023,667.1 K,2023
343165593,34316559300100,PARFUMERIE MIREILLE (Mireille en provence),Sabine Catto,04 88 60 14 99,contact@mireille-en-provence.fr,17/12/1987,37 ans,84,FR,84700,Sorgues,DPH,Parfumerie,9.7 M,2023,-117.9 K,2023
843497033,84349703300011,RB HYGIENE HOME FRANCE SAS (STMARC),Marco Monti,08 01 84 13 96,contact@stmarc.fr,25/10/2018,6 ans,91,FR,91300,Massy,DPH,Hygiène,527 M,2023,5.7 M,2023
440319473,44031947300022,ORAPI HYGIENE,ORAPI,04 37 57 18 27,email inconnu,14/12/2001,23 ans,01,FR,01150,Saint-Vulbas,DPH,Hygiène,129.3 M,2023,2.2 M,2023
844858837,84485883700033,INITIAL HYGIENE SERVICES,Fabrice Quinquenel,01 47 12 34 00,contact@initial.com,19/12/2018,6 ans,92,FR,92100,Boulogne-Billancourt,DPH,Hygiène,100.4 M,2023,6.9 M,2023
410545313,41054531300044,CARSO - LABORATOIRE SANTE ENVIRONNEMENT HYGIENE DE LYON,GROUPE CARSO HOLDING,04 26 10 17 24,contact@groupecarso.com,10/01/1997,28 ans,69,FR,69200,Vénissieux,DPH,Hygiène,69.1 M,2022,-6.1 M,2022
016650590,01665059000055,SOC PRODUCTION PHARMACEUTIQUE HYGIENE,APOLLO JS,03 80 48 42 00,contact@fareva.com,01/01/1966,59 ans,21,FR,21800,Quetigny,DPH,Hygiène,64 M,2023,1.8 M,2023
301331054,30133105400066,GLOBAL HYGIENE,AQUILA HYGIENE SAS,03 80 27 10 10,contact@global-hygiene.com,01/01/1974,51 ans,21,FR,21130,Auxonne,DPH,Hygiène,63.3 M,2023,4.5 M,2023
414124719,41412471900077,GROUPE PIERRE LE GOFF NORD-EST (HYGIENE PLATEFORME SERVICE HPS),PLG FINANCES,n° tél. inconnu,email inconnu,13/10/1997,27 ans,57,FR,57130,Ars-sur-Moselle,DPH,Hygiène,47 M,2019,1 M,2019
321326357,32132635700088,GROUPE EUROPE HYGIENE (G.E.H.),ADELYA TERRE D'HYGIENE,03 80 47 52 59,geh@geh.fr,10/12/1980,44 ans,21,FR,21121,Fontaine-lès-Dijon,DPH,Hygiène,39.8 M,2023,2.3 M,2023
333210789,33321078900099,CRISTAL HYGIENE,TINI,n° tél. inconnu,contact@cristaldistribution.com,15/07/1985,39 ans,42,FR,42000,Saint-Étienne,DPH,Hygiène,38.7 M,2023,3.1 M,2023
829919836,82991983600100,FREGATA HYGIENE,AQUILA HYGIENE SAS,03 80 27 10 10,email inconnu,29/05/2017,7 ans,21,FR,21130,Auxonne,DPH,Hygiène,36.5 M,2023,909.2 K,2023
