SIREN,SIRET,nom,dirigeant,telephone,email,date_creation,age,departement,ville,pays,code_postal,famille,micro_famille,chiffre_affaires_montant,chiffre_affaires_annee,resultat_net_montant,resultat_net_annee
508905122,50890512200048,TRADITION FRAIS (CENTRALE FRAIS),GROUPE ALLIANCE,03 22 69 35 28,,01/01/2009,16 ans,80,Amiens,FR,80000,PRODUITS FRAIS,SURGELE SALE-PRODUITS DU MONDE,7.5 M,2018,454.5 K,2018
410884423,41088442300049,BONDUELLE FRAIS TRAITEUR (BFT),BONDUELLE,03 28 49 82 28,,01/02/1997,28 ans,59,Wattrelos,FR,59173,PRODUITS FRAIS,SURGELE SALE-PRODUIT VEGETARIEN,7.4 M,2024,-8.4 M,2024
492467725,49246772500050,COTE FRAIS DISTRIBUTION,CHARRAIRE INVEST,,,12/10/2006,18 ans,69,Chaponost,FR,69510,PRODUITS FRAIS,SURGELE SALE-POISSON BRUT ET PANE,7.3 M,2021,1.7 M,2021
502997935,50299793500051,EURO DISCOUNT FRAIS,Mohammed Samya,04 66 43 67 88,,21/03/2008,16 ans,30,Nîmes,FR,30100,PRODUITS FRAIS,SURGELE SALE-APERITIF,7 M,2017,118.9 K,2017
41022023,41022023000052,LODI PRODUIT FRAIS,FRANCE FRAIS,05 57 80 99 00,,17/12/1996,28 ans,33,Lormont,FR,33310,PRODUITS FRAIS,SURGELE SALE-PLAT CUISINE ET SAUCE,6.9 M,2024,-48.1 K,2024
512053661,51205366100053,FRAIS DEVANT,GRAND SALOIR SAINT-NICOLAS,01 60 62 79 20,bonjour@fraisdevant.com,05/03/2009,15 ans,77,Brie-Comte-Robert,FR,77170,PRODUITS FRAIS,SURGELE SALE-ENTREE INDIVIDUELLE,6.7 M,2022,126.9 K,2022
344981055,34498105500054,ARDECHE FRAIS,SILLAGE INVESTISSEMENTS,04 75 93 64 08,commercial@ardechefrais.fr,09/05/1988,36 ans,07,Aubenas,FR,07200,PRODUITS FRAIS,SURGELE SALE-PRODUITS DU MONDE,6.5 M,2023,153.7 K,2023
334689338,33468933800055,DIS-FRAIS,FRANCE FRAIS,02 33 71 05 05,contact@disfrais.fr,01/10/1985,39 ans,50,Saint-Lô,FR,50480,PRODUITS FRAIS,SURGELE SALE-POISSON BRUT ET PANE,17.3 M,2023,244.4 K,2023
437515372,43751537200056,FL PB (GRAND FRAIS),PROSOL EXPLOITATION,,,19/04/2001,23 ans,69,Lyon,FR,69310,PRODUITS FRAIS,SURGELE SALE-PRODUITS DU MONDE,4.1 M,2016,139.1 K,2016
533784658,53378465800057,CG LUISANT (NOVOVIANDE GRAND FRAIS),Andre Lecuyer,02 37 25 77 20,contact@novoviande.fr,05/07/2011,13 ans,28,Luisant,FR,28600,PRODUITS FRAIS,SURGELE SALE-PLAT CUISINE ET SAUCE,3.6 M,2023,370.9 K,2023
805135282,80513528200058,HYPER FRAIS,El El Ouasia,01 69 21 15 41,,20/10/2014,10 ans,91,Ris-Orangis,FR,91130,PRODUITS FRAIS,SURGELE SALE-PRODUITS DU MONDE,4 M,2022,37.4 K,2022
390878387,39087838700059,FRANCE SERVICE FRAIS,Guillaume Fortin,03 80 26 60 70,contact@france-frais.fr,01/01/1993,32 ans,21,Dijon,FR,21200,PRODUITS FRAIS,SURGELE SALE-PLAT CUISINE ET SAUCE,3.1 M,2017,3.8 K,2024
83486113,83486113000060,POINT FRAIS AMBERIEU,Yasin Unlu,04 74 35 03 22,,06/12/2017,7 ans,01,Ambérieu-en-Bugey,FR,01500,PRODUITS FRAIS,SURGELE SALE-PRODUITS DU MONDE,3 M,2022,33.9 K,2022
489231431,48923143100061,SODISCOM PRODUITS FRAIS,Frederic Baptiste,04 32 62 17 41,contact@cotefrais.fr,23/03/2006,18 ans,13,Châteaurenard,FR,13160,PRODUITS FRAIS,SURGELE SALE-POISSON BRUT ET PANE,2.1 M,2017,88.7 K,2017
798148672,79814867200062,TOUT LE FRAIS POUR LES CHEFS,Jeremy Lagarde,09 83 90 67 16,contact@tlfplc.fr,22/10/2013,11 ans,94,Chevilly-Larue,FR,94550,PRODUITS FRAIS,SURGELE SALE-PRODUITS DU MONDE,2.9 M,2016,56.8 K,2016
53290179,53290179000063,BPFM LE CORBUSIER (C BON FRAIS),Julien Mestre,,,19/05/2011,13 ans,31,Toulouse,FR,31130,PRODUITS FRAIS,SURGELE SALE-PLAT CUISINE ET SAUCE,3.2 M,2022,5.5 K,2022
879139269,87913926900064,LE PLEIN FRAIS DE PONTAULT COMBAULT,Nabil Azzabi,01 64 05 89 30,,15/11/2019,5 ans,77,Pontault-Combault,FR,77340,PRODUITS FRAIS,SURGELE SALE-PRODUITS DU MONDE,1.4 M,2023,7.9 K,2023
534326301,53432630100065,EXPRESS FRAIS SERVICE (EXPRESS FRAIS SERVICE),Eric Busche,05 57 68 24 57,,25/08/2011,13 ans,33,Bordeaux,FR,33450,PRODUITS FRAIS,SURGELE SALE-PLAT CUISINE ET SAUCE,1.6 M,2017,143.1 K,2017
389232505,38923250500066,SARL LES HALLES DU FRUITIER (COO FRAIS),Edouard Peinte,,contact@maisonpeinte.fr,01/11/1992,32 ans,59,Lille,FR,59380,PRODUITS FRAIS,SURGELE SALE-PRODUITS DU MONDE,1.6 M,2019,74.5 K,2019
517842043,51784204300067,TOUT FRAIS TOUT FRUITS,FINANCIERE BESSE 3A,02 33 25 52 75,toutfrais-toutfruits@orange.fr,21/10/2009,15 ans,61,Alençon,FR,61130,PRODUITS FRAIS,SURGELE SALE-PRODUITS DU MONDE,1.6 M,2023,69.2 K,2023
51762576,51762576000068,CG SAINT BRICE (Maison du Frais St Brice),Arnaud Chevy,09 60 40 39 21,contact95@maisondufrais.fr,01/11/2009,15 ans,95,Saint-Brice-sous-Forêt,FR,95350,PRODUITS FRAIS,SURGELE SALE-PLAT CUISINE ET SAUCE,1.6 M,2023,-97.8 K,2023
